,learning_rate,batch_size,dropout,optimizer,activation,regularization,layer_1,layer_2,train_frac,test_frac,epochs,preweight,mean_val_nni,std_val_nni,mean_test_nni,std_test_nni
Gz3M1,0.4211235811895789,70.0,0.16582341091593367,adam,relu,0.03955667513363256,184.0,53.0,0.7,0.15,200.0,23.0,0.7287344138742309,0.0963731824533261,0.6160287081339713,0.10131374169648333
mGVrF,3.124479671532908e-05,5.0,0.02889369996043283,SGD,relu,0.020933495707227124,33.0,147.0,0.7,0.15,200.0,61.0,0.40085054210774507,0.08876459736331611,0.4299840510366826,0.10049416347895668
Jan9f,0.005305399722155268,50.0,0.09407353848560113,adam,elu,0.08821655219272802,140.0,111.0,0.7,0.15,200.0,56.0,0.9247430140379057,0.036915703775823205,0.935725677830941,0.01810119509704686
vW9bG,0.0016074398282598511,10.0,0.12384896192616508,SGD,elu,0.037227240436418466,117.0,174.0,0.7,0.15,200.0,54.0,0.7960391038156699,0.06561109068279761,0.8933014354066987,0.03186162208325099
a435V,0.01950990529395848,50.0,0.33590457724222467,SGD,tanh,0.09511481239134245,183.0,28.0,0.7,0.15,200.0,34.0,0.7874545973132193,0.0932537089883088,0.9001594896331737,0.033600495265744657
dra1h,0.0007279844327763038,70.0,0.046026390167265424,SGD,elu,0.040350898811973984,172.0,39.0,0.7,0.15,200.0,67.0,0.4460259231332161,0.11181412609948574,0.5333333333333333,0.11163636345407935
FBhU8,0.005338060645962211,70.0,0.2902359637408872,adam,tanh,0.0972875275159184,120.0,189.0,0.7,0.15,200.0,34.0,0.9239644311012345,0.034529521068234745,0.9370015948963317,0.008108914716992786
trHUF,0.028030843622517086,30.0,0.1056515608134045,SGD,relu,0.05177441526176351,198.0,91.0,0.7,0.15,200.0,53.0,0.8893416204712479,0.04962127773200265,0.9304625199362041,0.01355568061299893
ja6GO,0.1903564184218591,50.0,0.2383461819941801,adam,relu,0.06121423126932773,107.0,118.0,0.7,0.15,200.0,69.0,0.8651213960437627,0.033130015654142274,0.9318979266347688,0.018073067980222852
dEEyi,0.00025650472235164005,100.0,0.1388581496082774,adam,relu,0.022959118866932172,60.0,69.0,0.7,0.15,200.0,43.0,0.8702387673827069,0.08819536987727081,0.9288676236044656,0.018615931689205584
taDRu,0.06958143894026045,70.0,0.3123194745314142,SGD,elu,0.017461300031446792,171.0,86.0,0.7,0.15,200.0,49.0,0.8288792476626661,0.12612892523570582,0.9350877192982455,0.00794412083279891
WOpgS,1.7659957391452526e-06,5.0,0.08572642980380168,adam,relu,0.02615659979569407,139.0,176.0,0.7,0.15,200.0,33.0,0.5667408407395242,0.10863789191608163,0.6441786283891547,0.11602133629990435
LXNmk,0.15712001470237424,30.0,0.33660152783229463,SGD,tanh,0.07034388088353931,197.0,190.0,0.7,0.15,200.0,19.0,0.9195450624065696,0.032271468833410054,0.9429027113237639,0.015110327632953113
uB007,0.0006896227812782216,100.0,0.03779884239096454,adam,tanh,0.04336586771655587,189.0,29.0,0.7,0.15,200.0,50.0,0.9127043787450452,0.035880677343427876,0.9381180223285487,0.008523374300406634
hSp3t,0.1065365628274922,30.0,0.17013317702178776,adam,tanh,0.07989627756461615,58.0,175.0,0.7,0.15,200.0,59.0,0.8523130739693636,0.036575580233267846,0.6827751196172248,0.23795131706972886
iLLIW,0.18899445837930973,70.0,0.36001860614312464,adam,relu,0.045592891957666054,41.0,94.0,0.7,0.15,200.0,33.0,0.863024795092475,0.055573869792495144,0.8992025518341309,0.04899629517682919
HK3mD,0.0003110662380757451,70.0,0.28575172226566437,SGD,elu,0.06476514467107924,15.0,82.0,0.7,0.15,200.0,35.0,0.4399794946512217,0.08986268021004593,0.569377990430622,0.08002184735094708
qYyDb,6.870701343258463e-06,10.0,0.057890135163650935,SGD,relu,0.01974517690562664,95.0,59.0,0.7,0.15,200.0,19.0,0.42687302474357425,0.14377084332475795,0.5097288676236046,0.12407473435714589
rdICg,0.0005651194801006725,70.0,0.03908765927543892,adam,relu,0.08401438542998134,14.0,154.0,0.7,0.15,200.0,34.0,0.7938920253786719,0.12667866787746818,0.9159489633173845,0.030562558584078293
c6Lob,2.6271374402662908e-05,30.0,0.1977480280486454,adam,relu,0.09165726540405424,102.0,200.0,0.7,0.15,200.0,68.0,0.5868927694370986,0.11863425104538404,0.7007974481658692,0.09058168750282411
XBOlA,0.014208765015183505,100.0,0.010780575416802708,SGD,tanh,0.02982812393345219,168.0,44.0,0.7,0.15,200.0,21.0,0.7363240605564922,0.10767602772467515,0.8665071770334928,0.06055168382402923
fSk0O,2.962213637584938e-06,50.0,0.16983087608756173,SGD,elu,0.06344849841073462,90.0,197.0,0.7,0.15,200.0,38.0,0.3892797660538544,0.10165801708863284,0.44417862838915473,0.1257204285033766
s03VT,0.03270116042423603,5.0,0.2958983764351833,SGD,elu,0.07981206698859505,181.0,158.0,0.7,0.15,200.0,37.0,0.9122530934601658,0.04260117268891509,0.9368421052631579,0.008999512586708693
hVbQ2,0.08863937770637817,70.0,0.07755319213813872,SGD,relu,0.025074124606974224,29.0,184.0,0.7,0.15,200.0,57.0,0.8941262831493344,0.10099347985688817,0.9374800637958532,0.01092940459267104
dM9vd,4.552149921754108e-05,5.0,0.3514833599174311,adam,relu,0.02758333989308878,25.0,89.0,0.7,0.15,200.0,19.0,0.8052712394724312,0.1492892723040524,0.9023923444976075,0.056894671366058344
LMUsO,2.1783090655794257e-05,50.0,0.22062375743361204,SGD,tanh,0.06580103616435971,131.0,110.0,0.7,0.15,200.0,63.0,0.5439458069083216,0.11726492905240933,0.5534290271132377,0.12911766920579967
NAiUr,4.344555642570545e-05,30.0,0.25257737814983666,SGD,tanh,0.07539207515404384,46.0,43.0,0.7,0.15,200.0,40.0,0.43984879294831386,0.12411029168411189,0.5344497607655502,0.10926250529551504
P5vVe,2.932587314610263e-05,10.0,0.24735221470001925,adam,relu,0.03952799171260865,92.0,26.0,0.7,0.15,200.0,20.0,0.7408002993205144,0.09712892825035493,0.8330143540669857,0.0771047843905998
omhlA,0.0016976074087817626,10.0,0.031487515506366484,SGD,relu,0.04564616893034099,167.0,79.0,0.7,0.15,200.0,12.0,0.6257653152758065,0.12472292806479642,0.7338118022328548,0.13888323922892146
mLvXo,0.0023587054651416765,100.0,0.3094842009660115,SGD,relu,0.03497865346832474,178.0,163.0,0.7,0.15,200.0,62.0,0.5128988078777533,0.06918837546822727,0.5800637958532696,0.10431658396829316
DkytJ,0.0020165475306877243,30.0,0.39205428303636636,SGD,tanh,0.0861963268821121,105.0,184.0,0.7,0.15,200.0,49.0,0.6559293358480291,0.09406984455733719,0.7915470494417862,0.07210289776189592
oKplB,0.00011323672978672081,100.0,0.25794005377695356,adam,elu,0.08908096725662425,24.0,195.0,0.7,0.15,200.0,39.0,0.7524326707260618,0.10607038227460919,0.8467304625199361,0.11295751230615564
SDNEm,0.0020296660433250656,10.0,0.36230934076106114,SGD,tanh,0.0853703492945886,75.0,91.0,0.7,0.15,200.0,32.0,0.7158184710007367,0.10754300967283882,0.8282296650717702,0.08537106284373551
UaOjD,2.273332269950618e-06,100.0,0.16589450400105543,adam,tanh,0.0807296894491401,80.0,104.0,0.7,0.15,200.0,67.0,0.4713863728757108,0.14470068118448073,0.5266347687400319,0.108210630874442
ueu7r,4.940554724450318e-06,70.0,0.2635892615126369,adam,elu,0.06974793562275011,157.0,46.0,0.7,0.15,200.0,16.0,0.4986232572898424,0.10885309125943607,0.554066985645933,0.15544504729246295
hnhgu,0.027274397474407804,5.0,0.26761856526705996,SGD,elu,0.032057544959805444,138.0,90.0,0.7,0.15,200.0,25.0,0.942991469816374,0.02321924150978517,0.9416267942583731,0.010242165459650588
UsOVk,6.52067789991082e-05,50.0,0.3236180885986595,adam,tanh,0.08531868311212623,122.0,198.0,0.7,0.15,200.0,64.0,0.784985868613202,0.08076117642881911,0.8960127591706538,0.04505292788270073
dQZLS,6.440863760425909e-06,70.0,0.062314853236216286,SGD,elu,0.0280533285248349,162.0,187.0,0.7,0.15,200.0,55.0,0.5036212812664541,0.08482279163314395,0.5722488038277512,0.17529035349138905
x5ueg,1.5831220557481634e-06,5.0,0.0981388281256661,SGD,tanh,0.05420766586607495,26.0,100.0,0.7,0.15,200.0,17.0,0.40921313766514206,0.11762233869751312,0.45693779904306214,0.1443222563032863
XQJjA,0.00015942333609512085,10.0,0.18972245746641603,SGD,elu,0.07465627596924226,165.0,138.0,0.7,0.15,200.0,42.0,0.5874235142961879,0.11590001330645247,0.7118022328548645,0.08434287724207744
Dm4ci,0.024030130074596995,70.0,0.05566637742812959,adam,elu,0.0050873458307387764,95.0,108.0,0.7,0.15,200.0,10.0,0.9523122683739625,0.029451432754477137,0.9425837320574162,0.017412879188460836
s7V4j,0.00010511938572217987,10.0,0.2048464146936785,SGD,relu,0.07219947151954156,44.0,146.0,0.7,0.15,200.0,26.0,0.4647413623025419,0.0756019938230923,0.5341307814992026,0.07812208598484266
GKN2p,0.00016907015312556491,5.0,0.07253259134104716,adam,tanh,0.08663087684858889,78.0,129.0,0.7,0.15,200.0,48.0,0.9069167845573591,0.05471292486984332,0.9392344497607654,0.006968437727257913
b5oT5,3.0181077114073493e-05,5.0,0.2713713842260863,SGD,relu,0.06154921520783391,12.0,190.0,0.7,0.15,200.0,44.0,0.44770366488622004,0.1224471739829216,0.5574162679425837,0.1345874227372403
cevmI,0.0024166911772588633,100.0,0.20973351696132375,adam,tanh,0.0691044039311203,74.0,122.0,0.7,0.15,200.0,49.0,0.9211544659022474,0.053948926510884114,0.9387559808612439,0.01053597739388437
dJXNQ,0.1409673932431982,30.0,0.050310703088093336,adam,elu,0.030897777940059025,137.0,64.0,0.7,0.15,200.0,68.0,0.8807000807527452,0.05253725350275415,0.8127591706539075,0.18028848096021877
vRiMT,0.44482049533701445,10.0,0.14357536017102404,adam,tanh,0.044651587740588576,182.0,93.0,0.7,0.15,200.0,45.0,0.6445442746956006,0.06279849760667049,0.44776714513556615,0.1526813384347518
uUPpA,0.04781019133326045,50.0,0.21012839549442122,adam,elu,0.00906322812135868,169.0,60.0,0.7,0.15,200.0,45.0,0.9507597998603238,0.029347835346607076,0.9398724082934609,0.012879219925500727
Pbytk,1.7822707093384787e-05,50.0,0.32663273654912783,SGD,elu,0.051484884846741734,126.0,194.0,0.7,0.15,200.0,65.0,0.45409411487610657,0.12162903324720362,0.4810207336523125,0.13223258459165174
Squyy,0.00043539697022213235,50.0,0.05828769071885596,SGD,elu,0.09576856422115648,47.0,134.0,0.7,0.15,200.0,14.0,0.40705530091968256,0.15921317817551225,0.5003189792663477,0.10625182125081241
mrCPS,0.029498820040694047,70.0,0.3073356251591591,SGD,relu,0.09436019700156334,55.0,159.0,0.7,0.15,200.0,16.0,0.7062280823239144,0.10807151273070158,0.832695374800638,0.06140847967617029
NwOMt,0.3903056308591127,70.0,0.3719170186327963,adam,tanh,0.07610059557225188,146.0,22.0,0.7,0.15,200.0,31.0,0.7543098229981436,0.10644397310591172,0.49059011164274324,0.21402082587604906
PH52n,0.2128863172553011,100.0,0.03887452431093568,adam,relu,0.055874903540479685,60.0,112.0,0.7,0.15,200.0,20.0,0.8543819623550863,0.07037325192975448,0.9149920255183414,0.05450743426218659
kD1I2,0.19494117495676086,70.0,0.026824677450102998,SGD,relu,0.08119569309347771,179.0,16.0,0.7,0.15,200.0,12.0,0.873074667742818,0.04914064551295018,0.9208931419457735,0.014053199854488501
yP6p1,0.0010124380344285892,5.0,0.23002914904658575,SGD,tanh,0.021949671141866557,79.0,52.0,0.7,0.15,200.0,34.0,0.7717318846206016,0.07335876834261129,0.8716108452950557,0.05222524507187543
vwR3v,4.797062963283901e-05,5.0,0.06116536717916024,adam,relu,0.015292821180804073,155.0,133.0,0.7,0.15,200.0,67.0,0.9122527335329897,0.06421855709509239,0.9441786283891547,0.006614494849546347
a6J8B,0.028275043970309367,5.0,0.3536898680351512,adam,elu,0.01759114175362272,71.0,80.0,0.7,0.15,200.0,53.0,0.9197234641258071,0.02033908949158105,0.9132376395534291,0.026879563454905525
DZH7h,0.003958681796975567,30.0,0.30657743704392837,adam,tanh,0.005646070338570997,101.0,138.0,0.7,0.15,200.0,31.0,0.946142835125712,0.03439218660087337,0.9344497607655502,0.017154591064999728
lllGK,1.7987258760308497e-06,30.0,0.25752139099236193,SGD,relu,0.021089403842010856,95.0,157.0,0.7,0.15,200.0,68.0,0.42587338624197413,0.10553521924142314,0.5150717703349281,0.08582887597985236
X7iMm,0.0003053356592304886,30.0,0.12048780905842858,adam,elu,0.024395448816850088,128.0,87.0,0.7,0.15,200.0,57.0,0.89350186786748,0.087829726597641,0.9440191387559809,0.009146699176357055
qVrkx,0.0036584548250216888,50.0,0.3265031022649295,adam,tanh,0.05773163110845425,141.0,117.0,0.7,0.15,200.0,32.0,0.9386557456561327,0.02897582695434379,0.9416267942583731,0.008200931503784672
WJbue,0.009161306507617055,70.0,0.3000502171250975,adam,elu,0.05666141032994451,121.0,159.0,0.7,0.15,200.0,11.0,0.9410756003112815,0.027333777622320834,0.9400318979266347,0.011918048926487635
BTZ15,0.05188897950949397,50.0,0.06501585448432863,adam,relu,0.06474375956411464,19.0,81.0,0.7,0.15,200.0,43.0,0.934779081503447,0.02494410726891792,0.9334928229665073,0.0193640382691374
Yl3YT,0.0073550089066360975,70.0,0.008803444491801439,SGD,relu,0.09379895930705222,24.0,29.0,0.7,0.15,200.0,28.0,0.5338293481853718,0.10568466004580818,0.6363636363636364,0.1344678274757344
Q7Lvf,0.0003108554825312078,5.0,0.0052625926030285715,adam,relu,0.057619157894398476,122.0,105.0,0.7,0.15,200.0,56.0,0.9263311690828182,0.027681091838433602,0.9387559808612439,0.008384969332117971
wKDSs,0.0002100091153179284,70.0,0.23654919590368265,adam,tanh,0.03206610450869625,76.0,15.0,0.7,0.15,200.0,21.0,0.8100080866036778,0.13347916008234742,0.9180223285486443,0.045677563639145546
ZuJbA,0.0024907887650665425,5.0,0.1950828195659045,SGD,tanh,0.07649741525089171,57.0,46.0,0.7,0.15,200.0,47.0,0.8236372546580821,0.05176735185035877,0.9247208931419457,0.009903779710532737
oNzTF,9.660386469752244e-05,5.0,0.30351537516462446,adam,tanh,0.0005223370844906761,122.0,52.0,0.7,0.15,200.0,14.0,0.9255172841985745,0.03245599747651379,0.9508771929824562,0.010694133725193112
kO7vS,2.5990660225933166e-05,70.0,0.2268878779858411,adam,tanh,0.0610488334094893,196.0,63.0,0.7,0.15,200.0,59.0,0.6796869016931856,0.09771198956743286,0.8054226475279108,0.0774732282243307
kMfMk,3.372231042827608e-06,5.0,0.37121155842538833,SGD,tanh,0.02103084440595613,60.0,79.0,0.7,0.15,200.0,58.0,0.44011505910802357,0.07869487712863357,0.48022328548644344,0.07438255208412105
fwYM7,2.647499094040813e-05,10.0,0.26809070505677546,SGD,relu,0.01868303437924056,178.0,65.0,0.7,0.15,200.0,51.0,0.439138368817421,0.13881657456367108,0.5330143540669855,0.09858678515343135
GGZHx,0.0013295426495254941,100.0,0.13060425406254214,adam,relu,0.09405314062870024,127.0,36.0,0.7,0.15,200.0,62.0,0.8632059881215467,0.07879525024668745,0.9200956937799042,0.012788045477129906
bNBiY,1.2428806021059784e-06,30.0,0.12308221298369348,adam,elu,0.055951065837686526,110.0,78.0,0.7,0.15,200.0,17.0,0.43496021662844103,0.20203511943042726,0.47097288676236043,0.18741769236377284
KULFL,1.427340569484921e-06,100.0,0.1788092955440473,SGD,relu,0.08742457760193743,17.0,195.0,0.7,0.15,200.0,38.0,0.44695185282301997,0.10455345508397557,0.5326953748006379,0.10861232309174061
FmfLR,8.831087535319733e-05,70.0,0.04699721332221918,adam,relu,0.06095107634613437,139.0,50.0,0.7,0.15,200.0,22.0,0.6630308574649011,0.1222262650454912,0.7875598086124401,0.09551498448338322
CzXLF,0.0008074190994312663,5.0,0.28016625499601483,SGD,elu,0.059418028349407986,100.0,89.0,0.7,0.15,200.0,56.0,0.7174073940052172,0.1381742155493898,0.8228070175438598,0.09214153818003
CM3aw,4.29879341501239e-05,5.0,0.0418284254250009,SGD,tanh,0.07625823195645505,132.0,82.0,0.7,0.15,200.0,57.0,0.5163559612742856,0.09048858889012483,0.5610845295055821,0.17595371671504942
VVI8j,3.0016645908027607e-06,30.0,0.20126870117564322,adam,relu,0.008530976462854145,70.0,164.0,0.7,0.15,200.0,55.0,0.4933288824530724,0.12053831752477469,0.5561403508771929,0.14872448914089503
iaeOr,7.58270873109757e-05,5.0,0.13151364025058615,adam,relu,0.05938234387586108,140.0,73.0,0.7,0.15,200.0,60.0,0.8979475244962053,0.04144197562333649,0.9363636363636363,0.00886423810627772
EpbbL,2.401394292923747e-06,70.0,0.25085320037590814,SGD,elu,0.09028481446483588,196.0,27.0,0.7,0.15,200.0,14.0,0.4705096628477202,0.11263158202189774,0.5478468899521531,0.12735474407227573
MPC4n,0.18174220147958906,10.0,0.2642499803004691,adam,relu,0.058073100700292826,124.0,189.0,0.7,0.15,200.0,43.0,0.7942488373115042,0.06256261538487479,0.5888357256778309,0.11097155270768318
UyFjg,1.0204675887590207e-05,30.0,0.06470949397716108,adam,tanh,0.0823221865263377,155.0,117.0,0.7,0.15,200.0,31.0,0.661730142772945,0.058841001325713994,0.724481658692185,0.07268358357848353
u2JyW,7.04260108576324e-05,100.0,0.10291381392741089,adam,relu,0.025860206427241118,170.0,16.0,0.7,0.15,200.0,25.0,0.719778085046497,0.09913252941128274,0.8437001594896332,0.08258421871805344
tIghi,0.22484165964613448,70.0,0.20827554598520118,SGD,elu,0.012183721238090674,23.0,83.0,0.7,0.15,200.0,26.0,0.9249215247382093,0.029392413995470858,0.9384370015948964,0.00717526116695504
SozzJ,0.020716185422014022,50.0,0.0771645859490794,SGD,elu,0.09074111768245141,57.0,28.0,0.7,0.15,200.0,41.0,0.7680232096442522,0.12424547069258411,0.8969696969696969,0.04537024556478916
XvoaI,8.70943023425738e-06,30.0,0.14920088740995135,SGD,relu,0.0713606668822081,31.0,39.0,0.7,0.15,200.0,45.0,0.4275821310070584,0.12120836421845711,0.5006379585326954,0.1363285627875253
NVwAY,0.05811477039536731,100.0,0.0843626355563527,adam,relu,0.05744417179708933,71.0,73.0,0.7,0.15,200.0,24.0,0.933783318612393,0.03523568220104763,0.9392344497607656,0.022773533600662994
SZKGZ,0.00038157532824101205,30.0,0.13300071732704186,SGD,tanh,0.09548002685530507,130.0,84.0,0.7,0.15,200.0,53.0,0.4915310269867409,0.12857484584878248,0.5157894736842106,0.1536890964324307
j8uRt,0.002052107624985705,10.0,0.03873023243477323,adam,tanh,0.015966898100216353,42.0,145.0,0.7,0.15,200.0,54.0,0.9463907133031831,0.03023949142807357,0.9406698564593301,0.010355778679902982
NA8ag,0.0013222343492252451,10.0,0.07730297100957127,SGD,relu,0.0021593964415787094,27.0,102.0,0.7,0.15,200.0,50.0,0.571605537620103,0.1532458749510421,0.6668261562998405,0.1526415779698885
PyRWQ,1.6018473073921903e-06,30.0,0.05699858599521362,SGD,relu,0.049308450021352826,113.0,152.0,0.7,0.15,200.0,59.0,0.45739673042912943,0.1412755703154711,0.5397129186602871,0.09397228799423528
HFPsK,7.159834564416203e-05,100.0,0.3811714138084275,adam,relu,0.01575845695889454,182.0,189.0,0.7,0.15,200.0,51.0,0.7787902725484214,0.10596104847923349,0.8732057416267942,0.05551636884281095
WMMg9,0.007161153358761452,5.0,0.2957256891957505,SGD,relu,0.055504109036223465,33.0,102.0,0.7,0.15,200.0,38.0,0.8741334703720872,0.0586463606203032,0.9264752791068579,0.012445302184943817
iR6oO,1.706452003727695e-06,100.0,0.00031296909052818127,adam,elu,0.038275168747651224,59.0,12.0,0.7,0.15,200.0,43.0,0.4192861145369665,0.10576018345082491,0.5127591706539074,0.12458018960333798
FD4qL,1.542962183265039e-06,5.0,0.37416373025759914,SGD,relu,0.01845128999128277,150.0,27.0,0.7,0.15,200.0,27.0,0.47341802502102615,0.1454097287269292,0.4791068580542264,0.11832411091771747
ZlGlC,0.18551148245318513,100.0,0.24628747486913782,adam,elu,0.041859619716556565,72.0,11.0,0.7,0.15,200.0,56.0,0.885365585487538,0.038218641551585567,0.936682615629984,0.013306635970409045
VeCop,5.048583091339712e-05,30.0,0.04259986314890747,SGD,tanh,0.02243350336098289,41.0,71.0,0.7,0.15,200.0,69.0,0.461639484040143,0.09883233081895026,0.5172248803827751,0.1373872435395393
ImwWa,2.2547932178359024e-06,100.0,0.13808934305126677,adam,elu,0.0020111895076928457,116.0,42.0,0.7,0.15,200.0,19.0,0.45491403168273215,0.10848163788162037,0.46858054226475276,0.1090442647232995
I8gJW,1.5202126855177346e-05,30.0,0.022438173671062378,adam,tanh,0.003578480196568179,183.0,124.0,0.7,0.15,200.0,21.0,0.7982711800890345,0.08599199512803017,0.917224880382775,0.02219657970744142
kijgp,0.03961486998037705,100.0,0.19567530233904182,adam,tanh,0.09675074264833439,195.0,49.0,0.7,0.15,200.0,36.0,0.8837101120520796,0.039456787044782934,0.9263157894736842,0.012287949144662347
q6n2p,3.579087243286323e-06,10.0,0.08786036852814055,adam,relu,0.0232314684230182,42.0,162.0,0.7,0.15,200.0,49.0,0.5702297684764597,0.087392250094187,0.6220095693779905,0.07736480277917004
e15D8,0.00023402064594305774,30.0,0.22261487826805892,adam,elu,0.07071893383288679,91.0,177.0,0.7,0.15,200.0,17.0,0.8596610273554391,0.09216066389314802,0.9350877192982455,0.01311408297331532
X92zk,0.019394675114675363,70.0,0.22125994292870882,SGD,elu,0.09193234425757722,108.0,128.0,0.7,0.15,200.0,49.0,0.7713102072168567,0.09115171327779283,0.8920255183413077,0.03939781344555116
kpgO2,0.012590399358921325,30.0,0.2488669902051501,SGD,elu,0.0723812917345857,135.0,79.0,0.7,0.15,200.0,69.0,0.8074909730428075,0.08591448246671235,0.923444976076555,0.008132407517691832
CETso,1.0132005404033387e-05,10.0,0.03222593306931936,SGD,relu,0.05042628626130389,15.0,157.0,0.7,0.15,200.0,39.0,0.43446750265803014,0.14598245463428475,0.5658692185007974,0.14586074678487962
R0Hmv,0.15174332940703764,30.0,0.029957384955391755,SGD,relu,0.056589971099784725,184.0,33.0,0.7,0.15,200.0,36.0,0.9084219675085847,0.027597696323370606,0.9208931419457735,0.02414780493944514
afy5m,0.2569033320007927,70.0,0.18729886923327788,SGD,elu,0.07143337158733805,58.0,105.0,0.7,0.15,200.0,61.0,0.9082673915734645,0.03256071851526927,0.9382775119617225,0.010188629188953404
NJARm,5.00026426775825e-05,50.0,0.3200150893608025,SGD,elu,0.028254237399752326,132.0,145.0,0.7,0.15,200.0,64.0,0.43520950259941465,0.1330290879492723,0.530622009569378,0.12127516617815459
AL07o,2.3607756769258068e-05,70.0,0.38917930709079224,SGD,elu,0.019828178607216886,128.0,22.0,0.7,0.15,200.0,39.0,0.5190264531020671,0.09975896862732185,0.5692185007974482,0.1434758847243756
MlDrc,0.006720016967061168,5.0,0.20291346807402255,adam,elu,0.016993091285611005,184.0,125.0,0.7,0.15,200.0,48.0,0.9438764219062049,0.03180280621854121,0.9379585326953747,0.009339340332987188
zNq8h,1.2635119034069353e-06,30.0,0.39006348934449453,SGD,relu,0.002465278172523722,38.0,58.0,0.7,0.15,200.0,15.0,0.46460168557897424,0.11678170901382408,0.5059011164274322,0.18816099984155524
yL0ki,3.2406206864340263e-06,70.0,0.08695335300554037,adam,relu,0.033111274184392005,86.0,142.0,0.7,0.15,200.0,12.0,0.4227080651034657,0.144377447211309,0.5001594896331738,0.11436240818944546
LouG2,0.011991652688907327,10.0,0.39784143324393306,SGD,tanh,0.09691612640015951,161.0,86.0,0.7,0.15,200.0,21.0,0.8778561973545724,0.052645780774192165,0.9282296650717703,0.008439398121418171
lUmgn,0.00012812013797847927,100.0,0.20324659307855406,SGD,relu,0.08694978769552472,132.0,198.0,0.7,0.15,200.0,40.0,0.4027218473101114,0.08721473974345564,0.4872408293460925,0.07042239423313908
qvSBN,0.4474787439311116,30.0,0.08744045752515608,adam,tanh,0.096349216141041,135.0,178.0,0.7,0.15,200.0,23.0,0.633655025351948,0.10928118704899228,0.4653907496012759,0.12494422341740244
zXs8w,0.00750472918077324,30.0,0.3725735944417135,adam,elu,0.08386739217902878,156.0,135.0,0.7,0.15,200.0,26.0,0.9144650929819432,0.0381412456643185,0.9311004784688995,0.011273108164001493
Inr92,0.000734880974088275,50.0,0.29300941676583675,SGD,tanh,0.029193707184337205,148.0,123.0,0.7,0.15,200.0,53.0,0.48530028583723184,0.11261656953832834,0.5457735247208931,0.12988724489799208
aGVgq,4.438877472663653e-06,30.0,0.2918702893416098,SGD,tanh,0.06699331597487304,30.0,170.0,0.7,0.15,200.0,50.0,0.410416720555334,0.10303488369135674,0.45438596491228067,0.123489579782665
Symxw,5.236876817350255e-06,30.0,0.10315957369538681,SGD,elu,0.03885638038905136,188.0,95.0,0.7,0.15,200.0,65.0,0.465034209691332,0.11689717864213382,0.5518341307814991,0.17015234316956487
o6hPd,0.19784626623164203,30.0,0.35054209102992473,SGD,relu,0.08800351218797192,180.0,118.0,0.7,0.15,200.0,61.0,0.8931985692897874,0.030886486147282496,0.9121212121212123,0.022413259224909114
tiJ9y,1.1248663957746088e-05,30.0,0.022168122022430306,SGD,elu,0.09726547633728978,26.0,131.0,0.7,0.15,200.0,64.0,0.41293885792040513,0.13560477475791607,0.4598086124401914,0.10947787119804168
VHWgg,0.0008276842107136253,70.0,0.33991036471624936,SGD,relu,0.05563205554935882,195.0,141.0,0.7,0.15,200.0,64.0,0.5096031538633251,0.040257764458068446,0.574641148325359,0.1215328795492818
O32K8,3.823751836952969e-06,50.0,0.17392785307397796,adam,tanh,0.08837622960993151,62.0,199.0,0.7,0.15,200.0,59.0,0.40784310626613135,0.1022568852621321,0.5486443381180223,0.07745680988260642
mAWLB,0.2816410446957567,50.0,0.08169515547343012,SGD,relu,7.229810445398277e-05,173.0,189.0,0.7,0.15,200.0,29.0,0.9431203925161025,0.07241983017071654,0.9465709728867623,0.008829735588941892
QlpSj,0.21125193570004433,100.0,0.15539939101342748,adam,tanh,0.09707299636232024,12.0,109.0,0.7,0.15,200.0,14.0,0.898616444040455,0.056046138567249,0.9180223285486443,0.038747775793455085
YvzKZ,0.3704096926318027,10.0,0.2118839235855563,SGD,relu,0.09792798280190082,30.0,59.0,0.7,0.15,200.0,62.0,0.814497851461946,0.07038517903001658,0.7008771929824561,0.20110828520146884
LNTPX,1.3033200682320502e-05,50.0,0.2367339514785226,SGD,relu,0.018367157690346893,79.0,63.0,0.7,0.15,200.0,30.0,0.4246069372070235,0.12126067598664797,0.4933014354066986,0.1588104357736164
bt3kx,0.0003226280387951693,30.0,0.031220383003760867,adam,elu,0.0023686604440833706,39.0,126.0,0.7,0.15,200.0,54.0,0.9278681413615624,0.047650927612447116,0.9484848484848485,0.008795097721826012
Z7S56,0.000901486316502139,5.0,0.052847184122999206,SGD,tanh,0.05096481729783341,111.0,129.0,0.7,0.15,200.0,28.0,0.7464540205474385,0.07498507837703497,0.8647527910685804,0.04232820009735962
Q1BS7,1.0397377761835065e-05,10.0,0.3125856640829237,SGD,elu,0.045171453231000996,175.0,123.0,0.7,0.15,200.0,65.0,0.47142725440790745,0.14730537809481503,0.5087719298245614,0.13039777213546538
PJ7QJ,0.002492068839785413,70.0,0.31276587622197144,SGD,tanh,0.07654891002154526,135.0,93.0,0.7,0.15,200.0,44.0,0.578350975071448,0.08160829044024613,0.6688995215311004,0.10206140280780762
FpOBR,0.006228344099486073,100.0,0.18791237034029035,SGD,tanh,0.07149306129842747,172.0,181.0,0.7,0.15,200.0,51.0,0.6650984625000241,0.10672502138521382,0.7716108452950559,0.06089413613704712
